Cycle Time,Frequency
303.0,1
329.0,1
335.0,1
336.0,1
337.0,1
338.0,1
339.0,1
342.0,1
343.0,4
344.0,3
345.0,4
346.0,1
347.0,2
349.0,1
350.0,2
351.0,5
352.0,2
353.0,2
354.0,1
355.0,3
356.0,3
357.0,3
358.0,4
359.0,14
360.0,4
361.0,1
362.0,4
363.0,5
364.0,5
365.0,5
366.0,7
367.0,10
368.0,12
369.0,13
370.0,12
371.0,8
372.0,12
373.0,7
374.0,19
375.0,20
376.0,17
377.0,12
378.0,24
379.0,18
380.0,15
381.0,23
382.0,21
383.0,20
384.0,15
385.0,24
386.0,21
387.0,32
388.0,33
389.0,26
390.0,30
391.0,28
392.0,31
393.0,22
394.0,32
395.0,39
396.0,31
397.0,37
398.0,33
399.0,45
400.0,34
401.0,37
402.0,56
403.0,35
404.0,40
405.0,46
406.0,42
407.0,41
408.0,33
409.0,44
410.0,41
411.0,37
412.0,56
413.0,57
414.0,43
415.0,58
416.0,47
417.0,48
418.0,67
419.0,45
420.0,60
421.0,70
422.0,55
423.0,50
424.0,65
425.0,64
426.0,60
427.0,64
428.0,54
429.0,77
430.0,63
431.0,61
432.0,65
433.0,62
434.0,64
435.0,65
436.0,62
437.0,62
438.0,71
439.0,69
440.0,76
441.0,69
442.0,66
443.0,46
444.0,73
445.0,74
446.0,60
447.0,66
448.0,72
449.0,63
450.0,63
451.0,58
452.0,58
453.0,67
454.0,62
455.0,52
456.0,55
457.0,56
458.0,61
459.0,44
460.0,60
461.0,59
462.0,60
463.0,68
464.0,58
465.0,73
466.0,53
467.0,52
468.0,66
469.0,58
470.0,51
471.0,54
472.0,65
473.0,58
474.0,54
475.0,43
476.0,68
477.0,50
478.0,46
479.0,50
480.0,58
481.0,57
482.0,66
483.0,58
484.0,47
485.0,55
486.0,52
487.0,60
488.0,50
489.0,47
490.0,67
491.0,51
492.0,37
493.0,46
494.0,54
495.0,47
496.0,41
497.0,56
498.0,45
499.0,40
500.0,36
501.0,44
502.0,59
503.0,47
504.0,41
505.0,30
506.0,43
507.0,48
508.0,49
509.0,43
510.0,36
511.0,43
512.0,39
513.0,45
514.0,40
515.0,32
516.0,38
517.0,43
518.0,34
519.0,28
520.0,40
521.0,44
522.0,37
523.0,38
524.0,36
525.0,25
526.0,30
527.0,27
528.0,36
529.0,32
530.0,31
531.0,42
532.0,40
533.0,29
534.0,34
535.0,40
536.0,21
537.0,30
538.0,28
539.0,19
540.0,34
541.0,28
542.0,40
543.0,33
544.0,23
545.0,34
546.0,27
547.0,30
548.0,32
549.0,25
550.0,26
551.0,24
552.0,25
553.0,32
554.0,35
555.0,27
556.0,23
557.0,28
558.0,32
559.0,24
560.0,15
561.0,21
562.0,23
563.0,18
564.0,18
565.0,25
566.0,18
567.0,23
568.0,15
569.0,25
570.0,18
571.0,13
572.0,28
573.0,18
574.0,13
575.0,19
576.0,19
577.0,21
578.0,17
579.0,16
580.0,30
581.0,16
582.0,23
583.0,21
584.0,12
585.0,26
586.0,18
587.0,22
588.0,10
589.0,16
590.0,12
591.0,11
592.0,16
593.0,16
594.0,14
595.0,24
596.0,14
597.0,14
598.0,14
599.0,17
600.0,19
601.0,5
602.0,16
603.0,12
604.0,18
605.0,18
606.0,10
607.0,9
608.0,20
609.0,12
610.0,14
611.0,20
612.0,19
613.0,13
614.0,15
615.0,13
616.0,16
617.0,11
618.0,12
619.0,9
620.0,11
621.0,13
622.0,10
623.0,15
624.0,7
625.0,12
626.0,11
627.0,11
628.0,10
629.0,12
630.0,6
631.0,9
632.0,8
633.0,11
634.0,12
635.0,13
636.0,12
637.0,17
638.0,17
639.0,6
640.0,13
641.0,11
642.0,9
643.0,15
644.0,11
645.0,11
646.0,7
647.0,9
648.0,8
649.0,15
650.0,7
651.0,7
652.0,18
653.0,8
654.0,9
655.0,10
656.0,9
657.0,5
658.0,13
659.0,10
660.0,15
661.0,9
662.0,11
663.0,13
664.0,3
665.0,7
666.0,11
667.0,9
668.0,6
669.0,8
670.0,7
671.0,11
672.0,12
673.0,7
674.0,8
675.0,7
676.0,8
677.0,14
678.0,9
679.0,5
680.0,11
681.0,8
682.0,5
683.0,6
684.0,4
685.0,12
686.0,5
687.0,7
688.0,8
689.0,6
690.0,7
691.0,9
692.0,7
693.0,6
694.0,7
695.0,4
696.0,8
697.0,4
698.0,7
699.0,7
700.0,4
701.0,4
702.0,4
703.0,8
704.0,3
705.0,5
706.0,7
707.0,7
708.0,8
709.0,6
710.0,7
711.0,5
712.0,7
713.0,5
714.0,5
715.0,5
716.0,6
717.0,1
718.0,4
719.0,5
720.0,7
721.0,8
722.0,4
723.0,3
724.0,2
725.0,3
726.0,3
727.0,5
728.0,8
729.0,2
730.0,7
731.0,10
732.0,3
733.0,4
734.0,3
735.0,6
736.0,3
737.0,3
738.0,5
739.0,4
740.0,4
741.0,6
742.0,6
743.0,5
744.0,2
745.0,5
746.0,5
747.0,3
748.0,4
749.0,5
750.0,1
751.0,7
752.0,6
753.0,4
754.0,4
755.0,4
756.0,3
757.0,4
758.0,2
759.0,5
760.0,8
761.0,3
762.0,3
763.0,4
764.0,6
765.0,5
766.0,3
767.0,5
768.0,2
769.0,4
770.0,5
771.0,4
772.0,1
773.0,8
774.0,1
775.0,1
776.0,9
777.0,2
778.0,2
779.0,5
780.0,7
781.0,4
782.0,6
783.0,3
784.0,1
785.0,2
786.0,4
787.0,4
788.0,1
789.0,3
790.0,2
791.0,3
792.0,6
793.0,5
794.0,5
795.0,7
796.0,2
797.0,1
798.0,2
799.0,2
800.0,3
801.0,3
802.0,2
803.0,4
804.0,3
805.0,2
806.0,4
807.0,2
808.0,3
809.0,3
810.0,4
811.0,3
812.0,3
813.0,2
814.0,1
815.0,4
816.0,2
817.0,3
818.0,2
819.0,1
820.0,2
821.0,1
822.0,1
823.0,5
824.0,1
825.0,2
826.0,4
827.0,2
829.0,3
831.0,2
832.0,1
833.0,5
834.0,3
836.0,3
837.0,1
838.0,4
839.0,2
840.0,2
841.0,2
842.0,3
844.0,2
846.0,1
848.0,1
849.0,2
850.0,1
851.0,3
853.0,1
854.0,4
855.0,1
856.0,2
857.0,2
858.0,3
859.0,1
860.0,3
861.0,1
862.0,1
863.0,2
864.0,1
865.0,1
867.0,1
868.0,3
869.0,1
870.0,1
873.0,1
874.0,2
875.0,2
876.0,2
877.0,3
878.0,4
879.0,2
880.0,1
881.0,2
882.0,2
883.0,2
884.0,1
885.0,2
886.0,1
889.0,2
890.0,2
891.0,2
892.0,3
893.0,1
894.0,1
896.0,4
897.0,1
898.0,1
900.0,2
901.0,1
902.0,3
903.0,1
904.0,1
905.0,1
906.0,2
907.0,1
908.0,3
909.0,2
910.0,1
911.0,3
912.0,2
913.0,1
914.0,1
915.0,1
916.0,2
918.0,2
919.0,2
920.0,3
921.0,1
923.0,4
924.0,1
925.0,2
930.0,2
931.0,2
932.0,1
933.0,1
934.0,2
936.0,1
937.0,1
938.0,1
939.0,3
940.0,1
941.0,2
942.0,1
943.0,4
944.0,2
945.0,1
946.0,1
948.0,2
949.0,2
950.0,2
951.0,1
952.0,2
953.0,2
954.0,1
955.0,1
957.0,2
959.0,1
962.0,1
963.0,3
964.0,1
965.0,1
966.0,1
967.0,1
968.0,1
969.0,2
971.0,1
972.0,1
973.0,2
974.0,1
976.0,1
977.0,1
981.0,2
983.0,1
984.0,2
985.0,2
986.0,1
989.0,1
991.0,1
993.0,1
994.0,2
995.0,1
996.0,3
999.0,2
1001.0,1
1002.0,1
1004.0,2
1005.0,1
1006.0,2
1011.0,1
1012.0,2
1014.0,1
1017.0,1
1018.0,2
1019.0,1
1022.0,1
1024.0,1
1025.0,2
1026.0,2
1027.0,1
1028.0,1
1029.0,1
1031.0,1
1033.0,1
1036.0,1
1037.0,1
1039.0,1
1041.0,1
1042.0,1
1043.0,2
1045.0,1
1047.0,1
1049.0,1
1052.0,1
1053.0,1
1054.0,1
1057.0,1
1058.0,1
1059.0,2
1060.0,2
1062.0,1
1063.0,1
1065.0,2
1066.0,1
1068.0,1
1070.0,1
1073.0,1
1074.0,1
1077.0,1
1078.0,1
1079.0,1
1080.0,1
1085.0,1
1086.0,1
1089.0,2
1090.0,2
1091.0,1
1092.0,1
1093.0,1
1096.0,1
1097.0,1
1099.0,2
1100.0,2
1101.0,1
1102.0,1
1105.0,1
1106.0,2
1108.0,1
1110.0,2
1111.0,1
1112.0,1
1115.0,1
1118.0,1
1119.0,1
1121.0,1
1123.0,1
1124.0,1
1128.0,2
1130.0,1
1133.0,1
1135.0,1
1137.0,1
1138.0,3
1139.0,2
1140.0,1
1143.0,4
1152.0,1
1159.0,1
1161.0,1
1165.0,2
1169.0,1
1177.0,1
1178.0,1
1183.0,1
1184.0,1
1195.0,2
1196.0,1
1198.0,1
1200.0,1
1203.0,1
1205.0,1
1207.0,1
1212.0,1
1226.0,1
1229.0,1
1232.0,1
1233.0,1
1234.0,2
1238.0,1
1241.0,1
1245.0,1
1251.0,1
1252.0,1
1254.0,1
1259.0,1
1262.0,1
1265.0,1
1266.0,1
1270.0,1
1272.0,1
1275.0,1
1277.0,1
1285.0,1
1286.0,1
1287.0,1
1290.0,1
1292.0,1
1293.0,1
1299.0,1
1305.0,1
1313.0,1
1314.0,2
1315.0,1
1318.0,1
1325.0,1
1328.0,1
1335.0,1
1352.0,1
1361.0,1
1368.0,1
1373.0,1
1385.0,2
1387.0,1
1395.0,1
1415.0,1
1421.0,1
1436.0,1
1438.0,1
1439.0,1
1448.0,1
1458.0,2
1459.0,1
1461.0,1
1480.0,1
1487.0,1
1488.0,1
1499.0,1
1502.0,1
1516.0,1
1519.0,1
1521.0,1
1537.0,1
1554.0,1
1555.0,1
1583.0,1
1588.0,1
1591.0,1
1598.0,1
1607.0,1
1608.0,1
1618.0,1
1625.0,1
1630.0,1
1633.0,1
1643.0,1
1661.0,1
1679.0,1
1697.0,1
1712.0,1
1717.0,2
1720.0,1
1723.0,1
1729.0,1
1735.0,1
1746.0,1
1748.0,1
1775.0,1
1779.0,3
1832.0,1
1848.0,1
1852.0,1
1854.0,1
1870.0,1
1918.0,1
1939.0,1
1950.0,1
1961.0,1
1968.0,1
1975.0,1
2017.0,1
2018.0,1
2027.0,1
2129.0,1
2180.0,1
2182.0,1
2183.0,1
2188.0,1
2210.0,1
2213.0,1
2221.0,1
2341.0,1
2375.0,1
2424.0,1
2442.0,1
2448.0,1
2462.0,1
2558.0,1
2570.0,1
2613.0,1
2615.0,1
2658.0,1
2661.0,1
2676.0,1
2759.0,1
2863.0,1
3013.0,1
3098.0,1
3147.0,1
3167.0,1
3286.0,1
3307.0,1
3355.0,1
3379.0,1
3383.0,1
3423.0,1
3487.0,1
3517.0,1
3560.0,1
3834.0,1
3997.0,1
4052.0,1
4151.0,1
4181.0,1
4212.0,1
4588.0,1
4815.0,1
5454.0,1
6745.0,1
9222.0,1
10940.0,1
13262.0,1
14703.0,1
14836.0,1
14843.0,1
14860.0,1
14864.0,1
14873.0,1
14887.0,1
14902.0,1
14924.0,1
14945.0,1
14985.0,2
15027.0,1
15087.0,1
15254.0,1
18435.0,1
18446.0,1
18526.0,1
18574.0,2
18662.0,1
20405.0,1
22262.0,1
22816.0,1
24412.0,1
25582.0,1
25596.0,1
25657.0,1
25696.0,1
25749.0,1
37558.0,1
41047.0,1
41472.0,1
42344.0,1
42432.0,1
43031.0,1
43394.0,1
43868.0,1
44002.0,1
44112.0,1
45012.0,1
45365.0,1
45749.0,1
46176.0,1
47333.0,1
47611.0,1
47925.0,1
49185.0,1
49192.0,1
49851.0,1
49916.0,1
50551.0,1
50958.0,1
51359.0,1
51826.0,1
51847.0,1
52913.0,1
54109.0,1
62146.0,1
62555.0,1
